age,alloc_method,coef_borjas,se_borjas,mean_resid_borjas,sum_weight_borjas,coef_tenure,se_tenure,mean_resid_tenure,sum_weight_tenure
36,"2a. weighted lottery, old wage levels",-0.09265415480154926,0.0029986872277650064,-0.09164097940895197,10013,-0.05665415480154928,0.0029986872277650064,-0.05564097940895199,10013
37,"2a. weighted lottery, old wage levels",-0.09265458787212852,0.0029986911495382407,-0.10518872340486626,9012,-0.0566545878721285,0.0029986911495382407,-0.06918872340486626,9012
38,"2a. weighted lottery, old wage levels",-0.09265443030003505,0.0029986900110609204,-0.11539436827010655,8132,-0.056654430300035,0.0029986900110609204,-0.07939436827010661,8132
39,"2a. weighted lottery, old wage levels",-0.09265440737251067,0.002998690775919434,-0.1352484902154368,7156,-0.0566544073725107,0.002998690775919434,-0.09924849021543684,7156
40,"2a. weighted lottery, old wage levels",-0.09265388280160897,0.002998689695460205,-0.15053734551777645,6588,-0.056653882801608955,0.002998689695460205,-0.11453734551777646,6588
41,"2a. weighted lottery, old wage levels",-0.0926560077175539,0.002998686432701087,-0.1622491436216282,5526,-0.056656007717553906,0.002998686432701087,-0.12624914362162828,5526
42,"2a. weighted lottery, old wage levels",-0.09265444110077684,0.002998688444990467,-0.13843056923883004,4570,-0.05665444110077685,0.002998688444990467,-0.10243056923883002,4570
43,"2a. weighted lottery, old wage levels",-0.09265391106238713,0.0029986871664152387,-0.15142736594039455,3827,-0.056653911062387166,0.0029986871664152387,-0.1154273659403945,3827
44,"2a. weighted lottery, old wage levels",-0.09265476214866536,0.002998696718351864,-0.14400863991785845,3153,-0.056654762148665404,0.002998696718351864,-0.10800863991785856,3153
45,"2a. weighted lottery, old wage levels",-0.09265404242217279,0.0029987016118783556,-0.15750784993967215,2567,-0.05665404242217275,0.0029987016118783556,-0.12150784993967215,2567
46,"2a. weighted lottery, old wage levels",-0.09265310294493169,0.002998693686285257,-0.1486214528722063,1958,-0.05665310294493171,0.002998693686285257,-0.1126214528722064,1958
47,"2a. weighted lottery, old wage levels",-0.09265252543840544,0.0029986716137801223,-0.12278011847905514,1600,-0.05665252543840545,0.0029986716137801223,-0.08678011847905508,1600
48,"2a. weighted lottery, old wage levels",-0.09265662973306057,0.002998693371622635,-0.13720339001647514,1257,-0.05665662973306052,0.002998693371622635,-0.10120339001647509,1257
49,"2a. weighted lottery, old wage levels",-0.09265701432439971,0.002998703084673728,-0.10949908381696395,960,-0.05665701432439974,0.002998703084673728,-0.07349908381696399,960
50,"2a. weighted lottery, old wage levels",-0.09265726957492194,0.0029986943882562224,-0.08585029526664863,789,-0.05665726957492193,0.0029986943882562224,-0.049850295266648616,789
21,"2b. weighted lottery, new wage levels",0.1044993722654157,0.0036762370965537014,0.2617104691635769,16,0.14049937226541565,0.0036762370965537014,0.29771046916357696,16
22,"2b. weighted lottery, new wage levels",0.10450253694094329,0.0036762217482897413,0.2468700297579337,142,0.1405025369409433,0.0036762217482897413,0.2828700297579337,142
23,"2b. weighted lottery, new wage levels",0.10450147370305757,0.003676176305586125,0.18950117657610566,1481,0.1405014737030576,0.003676176305586125,0.22550117657610566,1481
24,"2b. weighted lottery, new wage levels",0.10450335888042564,0.0036761824934322313,0.13310381628942794,3745,0.1405033588804256,0.0036761824934322313,0.16910381628942794,3745
25,"2b. weighted lottery, new wage levels",0.10450281535752107,0.003676205962057873,0.058080180973377776,8380,0.14050281535752113,0.003676205962057873,0.0940801809733778,8380
26,"2b. weighted lottery, new wage levels",0.10450242742690326,0.0036762069265947653,0.02359974932550722,14425,0.14050242742690328,0.0036762069265947653,0.059599749325507205,14425
27,"2b. weighted lottery, new wage levels",0.10450313602747703,0.00367619449226211,0.017323303048365418,17570,0.14050313602747702,0.00367619449226211,0.05332330304836539,17570
28,"2b. weighted lottery, new wage levels",0.10450250641239114,0.0036762064421809472,0.0119301662704946,18593,0.14050250641239115,0.0036762064421809472,0.0479301662704946,18593
29,"2b. weighted lottery, new wage levels",0.10450213819753976,0.003676193133444458,0.02234133833268133,18390,0.1405021381975397,0.003676193133444458,0.05834133833268134,18390
30,"2b. weighted lottery, new wage levels",0.10450317924729582,0.003676194297475355,0.01982253387144318,17482,0.14050317924729575,0.003676194297475355,0.055822533871443175,17482
31,"2b. weighted lottery, new wage levels",0.1045023107358207,0.0036762032742214523,0.023915596795540613,15849,0.14050231073582062,0.0036762032742214523,0.05991559679554057,15849
32,"2b. weighted lottery, new wage levels",0.10450305005007705,0.0036762018394078414,0.023898180575256184,14038,0.14050305005007707,0.0036762018394078414,0.05989818057525618,14038
33,"2b. weighted lottery, new wage levels",0.10450200414875026,0.0036762185125276655,0.011212780687286348,12680,0.1405020041487503,0.0036762185125276655,0.04721278068728634,12680
34,"2b. weighted lottery, new wage levels",0.10450349770330879,0.0036762013348034315,-0.0015191946952702459,10997,0.14050349770330878,0.0036762013348034315,0.03448080530472976,10997
35,"2b. weighted lottery, new wage levels",0.10450155492370047,0.0036762006792235404,-0.04782270791095797,9178,0.14050155492370045,0.0036762006792235404,-0.011822707910957945,9178
36,"2b. weighted lottery, new wage levels",0.1045020086254112,0.0036761895486908305,-0.06159317747370768,7359,0.1405020086254112,0.0036761895486908305,-0.02559317747370766,7359
37,"2b. weighted lottery, new wage levels",0.10450098818370505,0.003676194860688863,-0.06203413932540374,6525,0.14050098818370504,0.003676194860688863,-0.026034139325403754,6525
