alloc_method,weight_scheme,mu_pi_num,fee_num,willing_share_num
1. old unweighted lottery,lottery winners,0.1,95000,0.3384866815686276
1. old unweighted lottery,lottery winners,0.1,100000,0.3214507180392158
1. old unweighted lottery,lottery winners,0.1,105000,0.3052251356862746
1. old unweighted lottery,lottery winners,0.1,110000,0.28977485294117655
1. old unweighted lottery,lottery winners,0.1,115000,0.2750313227450979
1. old unweighted lottery,lottery winners,0.1,120000,0.26096814235294125
1. old unweighted lottery,lottery winners,0.1,125000,0.247548854509804
1. old unweighted lottery,lottery winners,0.1,130000,0.23472831764705876
1. old unweighted lottery,lottery winners,0.1,135000,0.2225008533333334
1. old unweighted lottery,lottery winners,0.1,140000,0.2108358282352941
1. old unweighted lottery,lottery winners,0.1,145000,0.1997032737254902
1. old unweighted lottery,lottery winners,0.1,150000,0.18906439333333336
1. old unweighted lottery,lottery winners,0.1,155000,0.17888862392156862
1. old unweighted lottery,lottery winners,0.1,160000,0.16918922235294112
1. old unweighted lottery,lottery winners,0.1,165000,0.1599352023529411
1. old unweighted lottery,lottery winners,0.1,170000,0.1510504039215686
1. old unweighted lottery,lottery winners,0.1,175000,0.14258457058823526
1. old unweighted lottery,lottery winners,0.1,180000,0.1344818568627451
1. old unweighted lottery,lottery winners,0.1,185000,0.1267502219607843
1. old unweighted lottery,lottery winners,0.1,190000,0.11936598705882354
1. old unweighted lottery,lottery winners,0.1,195000,0.11232406980392165
1. old unweighted lottery,lottery winners,0.1,200000,0.10563079450980391
1. old unweighted lottery,lottery winners,0.1,205000,0.09924240666666664
1. old unweighted lottery,lottery winners,0.1,210000,0.09317848784313731
1. old unweighted lottery,lottery winners,0.1,215000,0.08744791960784315
1. old unweighted lottery,lottery winners,0.1,220000,0.0819725505882353
1. old unweighted lottery,lottery winners,0.1,225000,0.07676450980392156
1. old unweighted lottery,lottery winners,0.1,230000,0.07185664549019607
1. old unweighted lottery,lottery winners,0.1,235000,0.06719806705882349
1. old unweighted lottery,lottery winners,0.1,240000,0.06279195568627449
1. old unweighted lottery,lottery winners,0.1,245000,0.058629142352941165
1. old unweighted lottery,lottery winners,0.1,250000,0.05468890627450979
1. old unweighted lottery,lottery winners,0.1,255000,0.050939369019607855
1. old unweighted lottery,lottery winners,0.1,260000,0.047419476862745086
1. old unweighted lottery,lottery winners,0.1,265000,0.044104758823529426
1. old unweighted lottery,lottery winners,0.1,270000,0.04099522431372549
1. old unweighted lottery,lottery winners,0.1,275000,0.038063028627450986
1. old unweighted lottery,lottery winners,0.1,280000,0.035305389411764705
1. old unweighted lottery,lottery winners,0.1,285000,0.032730674901960785
1. old unweighted lottery,lottery winners,0.1,290000,0.03030744549019609
1. old unweighted lottery,lottery winners,0.1,295000,0.02803374078431372
1. old unweighted lottery,lottery winners,0.1,300000,0.02589814862745098
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,0,1
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,5000,0.9622455373942634
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,10000,0.926635538866801
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,15000,0.8926834944943469
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,20000,0.8600548929138241
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,25000,0.8287331271781281
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,30000,0.7984217264680382
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,35000,0.7691188910158873
"2a. weighted lottery, old wage levels",eligible applicants,-0.1,40000,0.7409112959963349
