scenario,mu_pi_num,fee_num,hiring_rate_num
growth_and_separations,0.1,355000,0.010592868403096397
growth_and_separations,0.1,360000,0.009733859203312864
growth_and_separations,0.1,365000,0.008936142678995791
growth_and_separations,0.1,370000,0.008195101291734315
growth_and_separations,0.1,375000,0.0075199112962047905
growth_and_separations,0.1,380000,0.006892720171290089
growth_and_separations,0.1,385000,0.006318557210418581
growth_and_separations,0.1,390000,0.005793510740923741
growth_and_separations,0.1,395000,0.005309316251382328
growth_and_separations,0.1,400000,0.0048700912919696
degenerate,NA,0,0.6853662266770193
degenerate,NA,5000,0.6740311992658996
degenerate,NA,10000,0.6631755723394743
degenerate,NA,15000,0.6523405331639256
degenerate,NA,20000,0.6410260935036822
degenerate,NA,25000,0.6297293004870473
degenerate,NA,30000,0.6179384014493776
degenerate,NA,35000,0.6061769134843886
degenerate,NA,40000,0.5944477776993482
degenerate,NA,45000,0.5829245194230723
degenerate,NA,50000,0.5709512717347827
degenerate,NA,55000,0.5591221383026281
degenerate,NA,60000,0.5470665396108327
degenerate,NA,65000,0.5351227029952237
degenerate,NA,70000,0.5231641608432742
degenerate,NA,75000,0.5109968000752924
degenerate,NA,80000,0.49860885626220564
degenerate,NA,85000,0.4865091409613892
degenerate,NA,90000,0.47428589915531394
degenerate,NA,95000,0.46188913202042303
degenerate,NA,100000,0.45021293616620783
degenerate,NA,105000,0.4380426342909579
degenerate,NA,110000,0.42613114985529754
degenerate,NA,115000,0.41407555116350203
degenerate,NA,120000,0.4023846497729465
degenerate,NA,125000,0.39041140208465686
degenerate,NA,130000,0.37881167501941126
degenerate,NA,135000,0.36639137902637586
degenerate,NA,140000,0.35458283334509777
degenerate,NA,145000,0.34275369991294324
degenerate,NA,150000,0.33062751464671425
degenerate,NA,155000,0.3192954283428625
degenerate,NA,160000,0.3076898190630809
degenerate,NA,165000,0.29666949012964405
degenerate,NA,170000,0.28524034728594616
degenerate,NA,175000,0.27354356368085453
degenerate,NA,180000,0.2622555939860238
degenerate,NA,185000,0.24977353474035902
degenerate,NA,190000,0.23922672407708057
degenerate,NA,195000,0.22844168372508877
degenerate,NA,200000,0.216189030846333
degenerate,NA,205000,0.20347756523375926
degenerate,NA,210000,0.19229547540057879
degenerate,NA,215000,0.18031046328321687
degenerate,NA,220000,0.16882838050869386
degenerate,NA,225000,0.15669631302792875
degenerate,NA,230000,0.14505246935366223
degenerate,NA,235000,0.13211747958871556
degenerate,NA,240000,0.12134714477306419
degenerate,NA,245000,0.1106091621373615
degenerate,NA,250000,0.10028881673372392
degenerate,NA,255000,0.09083021575962924
degenerate,NA,260000,0.08173925319404252
degenerate,NA,265000,0.0734776828780499
degenerate,NA,270000,0.06556316321968891
degenerate,NA,275000,0.05674278252276421
degenerate,NA,280000,0.04919884238017924
degenerate,NA,285000,0.042084303898731745
degenerate,NA,290000,0.036034446248323526
degenerate,NA,295000,0.03176689960236234
degenerate,NA,300000,0.02642290769628952
degenerate,NA,305000,0.023884732123950037
degenerate,NA,310000,0.02022893578974616
degenerate,NA,315000,0.017152537587350913
degenerate,NA,320000,0.01563786734429773
degenerate,NA,325000,0.013434978000517628
degenerate,NA,330000,0.011958542151949358
degenerate,NA,335000,0.010864450248229462
degenerate,NA,340000,0.010082115714924345
degenerate,NA,345000,0.009170372461824394
degenerate,NA,350000,0.008470388932025119
degenerate,NA,355000,0.0076615844333074445
degenerate,NA,360000,0.006982188654384602
degenerate,NA,365000,0.006091033152161085
degenerate,NA,370000,0.005491047269476024
degenerate,NA,375000,0.0047528293451918335
degenerate,NA,380000,0.0042469588950848625
degenerate,NA,385000,0.0036852074068844942
degenerate,NA,390000,0.0033852144655419636
degenerate,NA,395000,0.00300287052069359
degenerate,NA,400000,0.0025234700359991757
